test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=-2147483648 y=2147483647 response_result=-2 expect_result=-1 response_status_message=None expect_status_message='Все хорошо'
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=1333116427 y=453902967 response_result=2 expect_result=3 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=-1727513510 y=-947169602 response_result=1 expect_result=2 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=-1804208935 y=-699305251 response_result=2 expect_result=3 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=1112023236 y=115530588 response_result=9 expect_result=10 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=1103388724 y=-792871736 response_result=-2 expect_result=-1 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=104932293 y=-390346334 response_result=-1 expect_result=0 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=1948079104 y=-1300554135 response_result=-2 expect_result=-1 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=0 expect_status_code=0 x=2007149144 y=-1610689947 response_result=-2 expect_result=-1 response_status_message=None expect_status_message=None
test_division_numbers ->> 16/07/2024 | 23:45:15 response_status_code=8 expect_status_code=1 x=12 y=0 response_result=None expect_result=None response_status_message='Ошибка вычисления' expect_status_message='Ошибка вычисления'
test_division_numbers ->> 17/07/2024 | 00:43:27 response_status_code=0 expect_status_code=0 x=-2147483648 y=2147483647 response_result=-2 expect_result=-1 response_status_message=None expect_status_message='Все хорошо'
test_division_numbers ->> 17/07/2024 | 00:43:39 response_status_code=0 expect_status_code=0 x=40776390 y=-324252527 response_result=-1 expect_result=0 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:43:41 response_status_code=0 expect_status_code=0 x=67392723 y=-1223901027 response_result=-1 expect_result=0 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:43:43 response_status_code=0 expect_status_code=0 x=-1950379684 y=-709742360 response_result=2 expect_result=3 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:43:47 response_status_code=0 expect_status_code=0 x=901175850 y=-752473470 response_result=-2 expect_result=-1 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:43:59 response_status_code=0 expect_status_code=0 x=-391948145 y=388398427 response_result=-2 expect_result=-1 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:44:01 response_status_code=0 expect_status_code=0 x=2132783367 y=-1022608178 response_result=-3 expect_result=-2 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:44:05 response_status_code=0 expect_status_code=0 x=561162129 y=-259441655 response_result=-3 expect_result=-2 response_status_message=None expect_status_message=None
test_division_numbers ->> 17/07/2024 | 00:44:10 response_status_code=8 expect_status_code=1 x=12 y=0 response_result=None expect_result=None response_status_message='Ошибка вычисления' expect_status_message='Ошибка вычисления'
ERROR test_division_numbers ->> 17/07/2024 | 21:19:17 response_status_code=0 expect_status_code=0 x=-2147483648 y=2147483647 response_result=-2 expect_result=-1 response_status_message=None expect_status_message='Все хорошо'
ERROR test_division_numbers ->> 17/07/2024 | 21:19:43 response_status_code=0 expect_status_code=0 x=-116072174 y=1909870254 response_result=-1 expect_result=0 response_status_message=None expect_status_message=None
